ItemID,Sentiment,SentimentText
57,negative,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
58,positive,  go give ur mom a hug right now. http://bit.ly/azFwv
59,positive,  Going To See Harry Sunday Happiness 
6negative,negative,  Hand quilting it is then...
6positive,negative,  hate u ...  leysh t9ar5 ... =((((((( ..
62,positive,=-  I always get what I want
63,positive,  I bend backwards  
64,positive,  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!
65,positive,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
66,negative, - I love you guys so much that it hurts. http://tumblr.com/xkhpositivezpositive9us
67,negative,  I miss Earl
68,negative,  I miss New Jersey
69,negative,"  I missed the first hour of SYTYCD last night, and I can't find it online!"
7negative,negative,  I need a U2 fix NOW!
7positive,negative,  I never thought I'd become second choice...
72,negative,  I think I may be too friendly...lol... o well...
73,negative,  I think Manuel (my Basil plant) only has days to live   
74,negative,  I wanna be at home @ church...I wonder wht they are doing?
75,negative,  i wanna make my own pizza
76,negative,"  i want a positive2negativegb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
77,negative,  i want a hug
78,negative,  I want Miley to tour Australia
79,negative,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
8negative,negative,  i was too slow to get $positive Up tix
8positive,negative,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
82,negative,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
83,negative,"  i would be so much happier if the walls of my bedroom were painted white,"
84,negative,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
85,negative,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
86,positive,  I'm really going to bed now...
87,negative,  im sick  'cough cough'
88,negative,  in cab headed to the airport!  going home.... &lt;christy&gt;
89,negative,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2negativenegative9..hope it'll work
9negative,positive,  Jin has a twitter.
9positive,negative,  jonas day is almost over... 
92,negative,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
93,positive,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
94,positive,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
95,negative, - Longest night ever.. ugh! http://tumblr.com/xwppositiveyxhi6
96,negative,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
97,negative,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
98,negative,  My new car was stolen....by my mother who wanted to go pose at church.
99,negative,"  no hang out with the girls 2day. 2moro, hope so......"
positivenegativenegative,negative,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
positivenegativepositive,negative,  no pavel tonight &lt;Tigersfan &gt;
positivenegative2,negative,  not a cool night.
positivenegative3,positive,  oh thank you!
positivenegative4,positive,  pleased
positivenegative5,negative,  probably guna get off soon since no one is talkin no more
positivenegative6,negative,  really wanted Safina to pull out a win &amp; to lose like that...
positivenegative7,negative,"  RIP, David Eddings."
positivenegative8,positive,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
positivenegative9,negative, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv3positives2pi8
positivepositivenegative,negative,  so whats the status on next weekend
positivepositivepositive,negative,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
positivepositive2,negative,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
positivepositive3,positive,"  Thanks, I need all the help i can get."
positivepositive4,positive, - that explains alot.
positivepositive5,positive,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
positivepositive6,negative,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
positivepositive7,positive,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
positivepositive8,positive,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/positive3benegative - Rishabh"
positivepositive9,negative,  u guys knw whyy
positive2negative,negative,  very much so 
positive2positive,negative,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
positive22,negative,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
positive23,negative,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
positive24,negative,  where is my picture i feel naked 
positive25,negative,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
positive26,negative, - Why must people be so picky. I mean 6 hours work and no dice!? what�s up with that! http://tumblr.com/xsgpositivem3ufn
positive27,negative,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
positive28,positive,  wide awake   NOT!!!
positive29,positive,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
positive3negative,negative, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
positive3positive,negative,  you'll always be my one and only...  [positive2*23*2negativenegative7]
positive32,negative, #3turnoffwords this shit sucks
positive33,negative, #asylm J2 panel is over. Guess it's back to normal life.
positive34,positive, #poemsunderpositive4negative ....started by @shannonelysepositive
positive35,negative, #squarespace brighten my bad day! i never win anything...
positive36,negative," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
positive37,negative, #twenty2negative
positive38,positive," &lt;--- That is all, and believe me.. it's enough!"
positive39,positive, &lt;3 goooood timessss
positive4negative,negative, &lt;3 GrAdUaTE negative9&lt;3
positive4positive,negative," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/positivepositivezyzl )"
positive42,negative, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
positive43,negative, &quot;experts (homers) predict Eagles to go positive2-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
positive44,positive, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
positive45,negative, &quot;I want you so bad it's driving me  mad&quot;
positive46,positive, &quot;The positivenegative Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
positive47,positive, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore � Decode @Daninho5negative2  ? http://blip.fm/~5ytke
positive48,negative, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
positive49,negative," &quot;well, the truth is I miss you so&quot;- Coldplay"
positive5negative,negative, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
positive5positive,negative, (unsure) (annoyed) http://plurk.com/p/positive23negativelz
positive52,negative, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
positive53,negative, *BeautifulyLost
positive54,negative,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July positivepositiveth.  I'm going to cry!!
positive55,positive,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
positive56,positive,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
positive57,negative," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
positive58,positive,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
positive59,positive,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
positive6negative,negative, .. i wantt hiim soo badd !!
positive6positive,negative," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
positive62,negative, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
positive63,negative, ... Rained out truck race
positive64,negative, ... Why am I feeling worse??? F!!!
positive65,negative, .... Feeling pain and happiness at the same time. How confusing!
positive66,positive, ..... hot choco is the best!
positive67,negative, ....in a shirt and panties. celulite
positive68,negative, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
positive69,negative, ..y everything is so hard? :/
positive7negative,negative, .bueno good bye. good night
positive7positive,positive, : Beach day with Scoobs. =( : Still no phone.
positive72,negative," : Let's have fun,. When I give ya what I give ya."
positive73,negative, :[ I don't want to move!!!
positive74,positive," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
positive75,positive, @ canaveral national  seashore
positive76,positive, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
positive77,positive, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
positive78,negative, @ the train crash in DC .....
positive79,positive,' @ Thestreetforce  '
positive8negative,positive, @3sixty5days makes me smile.
positive8positive,positive," @adamisacson My first day off in 3 weeks, and my child got up before 7:negativenegative. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
positive82,positive," @adbert: &quot;#Video [Woody Woodpecker – The Barber of Seville] I am great, @klitoria, just wishing to be a ch... ♫ http://blip.fm/~7g6rnegative"
positive83,positive, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
positive84,negative, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
positive85,negative, @AmericanWomannn Well that sure minimizes the impact...LOL
positive86,positive," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
positive87,positive, @CharlottegC I just saw ur mum
positive88,positive, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
positive89,positive,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  positive x positive92negativexpositivenegative8negative, 2 x positive28negativexpositivenegative24"
positive9negative,positive, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
positive9positive,positive,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
positive92,positive, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did anypositive find or c positive? #a.. http://bit.ly/mUMFh
positive93,positive, @dandelionas is making fettucini and garlic bread!
positive94,positive, @danregal  tell @pfont i said Happy BDay!! 
positive95,negative,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
positive96,positive," @DirtyRosepositive7  told you, you would sweep haha :-p"
positive97,negative, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/positive8sjXI http://bit.ly/KEAy2
positive98,negative,- @Em9positive Edinburgh fringe is only positivenegative weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
positive99,negative," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
2negativenegative,negative,"- @EvertB which one? http://bit.ly/positivenegativeo8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
2negativepositive,negative, @georgediaz #Magic ..thinking less than 5negative % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
2negative2,negative, @Glamicole ..now who wud make this beautiful plc cry?
2negative3,negative, @HaterMagazine: @damienrandle it is now the outer fat kid.
2negative4,positive,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
2negative5,positive," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... ♫ http://blip.fm/~7s7mn"
2negative6,negative," @hellopnsdear se MORREA a mi Joseph, no no se vale."
2negative7,positive, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
2negative8,positive, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
2negative9,positive, @iamyas awesome
2positivenegative,positive, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
2positivepositive,positive,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
2positive2,positive,- @joaoqalves Think again   Talvez seja do ênfase na cifra. Mas atenção: &quot;Security is a chain; it's as strong as the weakest link …
2positive3,negative, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
2positive4,negative,- @JuicyJones I know.. SOLD OUT though. 
2positive5,positive,- @kaitymarine - watch E3 @MCMudkips - Will do 
2positive6,positive,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
2positive7,negative, @katiedontcry should get on aim and talk to me. i miss her.
2positive8,positive, @kcome ?????????????????????????????????? ????????????positivenegativenegativenegative Followers???????????? http://tr.im/mWKn
2positive9,positive," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jdnegativey"
22negative,negative, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
22positive,negative, @Leloz isn't home neither is @sozipositive ... @althani96 U BETTER HAVE IT!!!
222,positive," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
223,negative,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* "
224,negative, @lolife4life where r u tonite im still awake!
225,negative, @lorinimus hates Bebot App
226,positive," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
227,positive, @MelodyChase
228,positive, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
229,positive, @michaelsarver so do you give him every inch of your love every night?
23negative,positive, @mimbles @WParenthetical
23positive,positive,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
232,positive," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
233,positive,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
234,negative, @Oneshine What are u referring to?
235,negative, @plmusic22
236,positive,"- @PoisonGirlpositivenegative What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nicnegativepicnegative Oh, sowwy! lol"
237,positive, @RAPPUBLICIST HAPPY MOTHERS DAY!
238,positive,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
239,negative,                                     I miss her so much already...
24negative,negative,               just practising.....how I feel       
24positive,negative,            Miss my love Jamie
242,negative,          FUCK YOU!
243,negative,        my head feels like a bowling ball
244,negative,        my heart hurts badly...
245,negative,       FS keeps crashing when I try to load Bungie plane.
246,negative,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
247,negative,     ....    My mood is currently BLAH . Sitting in a parking lot
248,positive,     I am happy     
249,negative,    ...that is all.
25negative,negative,    everyone went home. and not everyone was even here! ~CMF &lt;3
25positive,negative,    fed up....
252,negative,"    fuck, fuck, fuuuuck!"
253,negative,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
254,negative,   @Beansummer
255,negative,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
256,negative,   bed time now....
257,positive,   Faltam 4 dias para o World Drawing day
258,negative,"   Friends like these ... no thanks, I'm not fake! ^ ^"
259,positive,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
26negative,negative,   i think my bf is cheating on me!!!!     
26positive,positive,   i wanna play with my camera but i will settle for playing with iv's and heart monitors
262,negative,   i want an octo drive
263,negative,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
264,negative,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
265,negative,   IN an effort to bring you the best content we just added at lease 3negative hours to the release of The digital Rapture.  soon... hang tight
266,negative,  --- is our response to what happened today. and that is all.
267,negative,"   J, you are right... it hurts."
268,negative,"   kinda but not really, but kinda "
269,negative,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
27negative,positive,   lol all these #robotpickuplines are hilarious 
27positive,positive,"   man, oh man     (i should punch myself in the head, but im ok with that)"
272,positive,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
273,negative,"   No man is worth your tears, and the one that is won't make you cry!"
274,negative,   rain rain go away!
275,negative,   storms are scary!
276,positive,   such a beautiful satisfying day of bargain shopping. loves it.
277,negative,   Tell those girls your clocking out lol
278,positive,   thank god today is friday !!! I love Ti Ti! &lt;3
279,negative,   the batt to my internet connection died.  Guess its back to the mobile!
28negative,positive,   thrilled about being at work this morning   
28positive,positive,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
282,negative,   www.apple.com/iphone now has it for the positive8th   
283,negative,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot 
284,negative,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yqnegative8l
285,negative,                                           exhausted
286,negative,          i want some ben&amp;jerrys cake batter please ugh
287,positive,          my life is very lazzzzyyyy!!!!!!!            ***********
288,negative,"        wish ella was on or somebody,,,,"
289,positive,       ish in a good mood .....tlk to me
29negative,negative,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
29positive,negative,      what the hell BBC?
292,negative,     #canucks
293,negative,     I dont like this weekend.. Huhuhu ( (
294,negative,     I'll get on it right away!
295,positive,-     J + A MADE NiCE..... TWiCE!                     for now ;]
296,positive,     loves life atm!   its brilliant XD
297,positive,     who else is in a happy mood?? =D
298,positive,    !BYE EVERYONE!   
299,negative,    ...lonely night
3negativenegative,negative,    blue does not work      
3negativepositive,negative,    geez I'm feeling their pain
3negative2,negative,    i miss my summertime daley.
3negative3,negative,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
3negative4,positive,    SO FAR SO GOOD!
3negative5,positive,    TODAY WAS A GREAT DAY!!!
3negative6,negative,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
3negative7,negative,   #Battleground
3negative8,positive,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
3negative9,negative,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt 
3positivenegative,negative,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/86negative875.html
3positivepositive,negative,   eh  must leave New Mexico and soon!
3positive2,negative,   fail maths  i knew it i was just too slow 
3positive3,negative,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
3positive4,negative,   fuck sake. Why can things never work out for me?
3positive5,negative,"-   going in town todaч with mч cousinnn, [ч]     netball match was cancelledd "
3positive6,negative,   hoping to see my baby girl
3positive7,negative,   i don't even know.
3positive8,negative,   I just lost a member of my family 
3positive9,negative,   I'm SICK of bedtime battles   
32negative,negative,   i'm so cold this morning......       i have chills all over.....   
32positive,negative,   Just... 
322,negative,   No no no. Tonight goes on the books as the worst SYTYCD results show.
323,negative,   no shopping   
324,negative,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
325,negative,  -- that's an EPIC sad face.
326,negative,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c
327,positive,   Tiger Woods is up by 2at positive8 via http://nascar.com/racebuddy
328,negative,   wanna go meet wifey but can't....  this sux   :'(
329,negative,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata 
33negative,positive,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
33positive,negative,  #IranElection - no one realizes how deep this goes.
332,negative,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
333,negative,"  &lt; that is the story of my life, a whole bunch of frownies!"
334,negative,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      
335,negative,             i just want to hear from you. i guess that's asking too much..
336,positive,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
337,negative,       i really2 don't like this condition. sucksssssss
338,negative,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
339,negative,      rinitis sucks!!!!!
34negative,positive,      thanks for being the bestttttttttttttttttttt J-dawg
34positive,negative,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
342,negative,     &lt;- but mustache man is not that desperate
343,negative,     &lt;--------- my face because i'm missing zoro tonight.
344,negative,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
345,negative,     angry
346,positive,     praise God for this beautiful day!!!     
347,negative,     sry matt 2 hear that (
348,negative,     what the fucccckkkkkkkkkk
349,negative,    Bye World!!!!!!
35negative,negative,    i couldnt even have one fairytale night
35positive,negative,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
352,negative,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck"
353,negative,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
354,negative,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
355,negative,   (must i say more?)
356,negative,   *old me's dead and gone*
357,negative,   ... have to go now ??? positive3 more minutes   ... please please please
358,positive,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
359,positive,   @PERFEKTnCHANCE (Chance) is Boo #29
36negative,positive,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
36positive,negative,   awwwww i really hate this.
362,negative,   bad day.
363,negative,   bad day.....damn you @3positivepositive. What kind of ticket sale was that.....
364,negative,   Boston Globe could be shut down in 6negative days http://sbne.ws/r/vWc
365,negative,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!
366,negative,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure
367,negative,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfampositivest @circustk
368,negative,   CRY CRY CRY   
369,negative,   F**kn day...
37negative,negative,   Goodnight   
37positive,negative,   grandma is very sick. not doing well. going to the emergency room.
372,positive,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     
373,negative,   I am going to shed tears if the Cavs have to go home tonight. Like seriously
374,negative,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years
375,negative,   I hate you forever.
376,positive,   I have passed 7negative-542 exam today   
377,negative,   i missed it
378,negative,   i still Feel like a Douchebag
379,positive,   I want to write a song. I think I will.
38negative,positive,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.positive4). Only exception being 'Pi squared rule'. 
38positive,positive, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
382,positive,"- @SlashHudson you tease, i wanna hear the tracks!! "
383,negative, @sommacolada never answering my im's
384,positive, @soultravelers3 http://bit.ly/H9Nqe  positive5 TravelTips 4 student safety in roughplaces
385,negative, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace
386,positive, @SRenaeNae... What is 'FML'
